WetlandName,SurvYear,WetlandArea,SurveyArea,PercentFilled,SumOfCount,SurveyRecords,SpeciesRichness,SumOfNests,SumOfBroods,LatitudeDec,LongitudeDec
Upper Darling River,2013,71969.0,14393.8,20.0,188,5,5,0,0,-30.56417,145.0189
Yantabulla,2013,113214.0,113214.0,0.0,0,1,1,0,0,-29.29,144.9217
Banrock Station Wetland Complex,2014,290.0,290.0,100.0,1339,32,21,25,0,-34.2072,140.3458
Barmah-Millewa,2014,2358.0,1037.0,44.19,4521,101,19,650,0,-35.913,144.978614
Booligal wetlands,2014,177.0,0.0,0.0,2191,25,17,0,0,-34.1175,144.5044
Burrendong Dam,2014,6059.0,2423.6,40.0,547,10,10,0,0,-32.6088,149.1578
Coolmunda Dam,2014,1640.0,1312.0,80.0,1772,21,21,0,0,-28.4286,151.2258
"Coorong, Lower Lakes and Murray Mouth",2014,114856.5,100452.0,94.78,250955,277,45,7121,94,-35.66836,139.251
Corop wetlands complex,2014,656.0,656.0,57.68,12456,26,19,0,0,-36.458067,144.8305
Currawinya Lakes,2014,7588.0,1671.0,22.02,3226,45,25,0,0,-28.72135,144.28245
Darling Anabranch,2014,27159.0,1025.0,3.77,13921,68,21,0,0,-33.33528,141.83544
Fivebough Swamp,2014,309.0,14.0,5.0,1954,12,12,0,0,-34.5336,146.4278
Gunbower-Koondrook-Perricoota,2014,60.0,370.0,90.0,1307,5,4,0,0,-35.6952,144.2197
Gwydir Wetlands,2014,309.0,607.5,4.43,4026,107,29,0,0,-29.2789,149.337383
Hattah Lakes,2014,2471.0,2471.0,100.0,4549,84,24,105,0,-34.7367,142.395333
Kerang wetlands,2014,3003.56,2626.0,87.45,49872,151,29,7200,0,-35.613857,143.820457
Kiewa River,2014,3550.0,177.5,5.0,87,3,3,0,0,-36.4486,147.0556
Lake Brewster,2014,6200.0,0.0,0.0,0,1,1,0,0,-33.4836,146.0178
Lake Cowal,2014,9089.0,4545.0,50.0,37233,38,22,0,0,-33.6033,147.4756
Lake Hindmarsh,2014,13501.0,0.0,0.0,0,1,1,0,0,-35.978,141.905
Lake Mokoan,2014,2641.0,264.1,10.0,13020,17,17,0,0,-36.4744,146.0622
Lindsay-Walpolla-Chowilla,2014,879.0,610.0,65.42,54615,159,39,0,2,-34.21215,140.682533
Lowbidgee floodplain,2014,2315.0,1600.0,69.08,9235,75,28,0,0,-34.5494,143.70345
Macquarie Marshes,2014,103327.0,10585.7,10.2,6573,7,7,0,0,-31.1272,147.5508
Menindee lakes,2014,39319.0,6176.0,15.71,52273,103,24,0,0,-32.342275,142.437675
Murray River and Euston Lakes,2014,2880.0,1407.5,51.35,806,15,11,0,0,-34.5497,142.8799
Noora Evaporation Basin,2014,9245.0,4622.5,50.0,1923,8,8,0,0,-34.4212,140.8607
Paroo overflow lakes complex,2014,10550.85,429.0,4.07,2537,12,6,0,0,-30.6086,143.76785
Pyap Lagoon,2014,54.0,54.0,90.0,336,15,8,0,0,-34.4125,140.4594
River Murray Channel,2014,568.3,406.9,95.21,555,49,22,0,0,-35.48484,143.97806
Split Rock Reservoir,2014,200.0,100.0,50.0,238,9,9,0,0,-30.5675,150.68
Tallywalka system,2014,1178.0,1178.0,67.78,1988,15,10,0,0,-32.567067,143.361467
Waranga Basin,2014,5285.0,3699.5,70.0,798,12,12,0,0,-36.5486,145.1006
Banrock Station Wetland Complex,2015,300.0,300.0,90.0,338,32,19,0,0,-34.196838,140.337924
Barmah-Millewa,2015,2066.0,1822.0,69.15,3087,97,22,695,1,-35.883854,144.964668
Booligal wetlands,2015,0.0,0.0,5.0,5434,45,22,0,0,-33.990364,144.566928
Burrendong Dam,2015,6059.0,302.95,5.0,299,11,11,0,0,-32.60889,149.1578
Coolmunda Dam,2015,1640.0,984.0,60.0,7151,25,25,0,0,-28.42861,151.2258
"Coorong, Lower Lakes and Murray Mouth",2015,61571.0,61571.0,77.29,228290,264,42,5142,88,-35.697504,139.222073
Corop wetlands complex,2015,346.0,272.4,78.73,3107,36,22,0,0,-36.458333,144.8749
Currawinya Lakes,2015,2785.0,0.0,30.0,69494,47,29,0,0,-28.7124,144.339518
Darling Anabranch,2015,26596.0,0.0,0.0,0,5,1,0,0,-33.335368,141.831027
Fivebough Swamp,2015,282.0,0.0,5.0,3904,14,14,0,0,-34.51272,146.39134
Great Cumbung Swamp,2015,0.0,0.0,100.0,14039,77,25,7,0,-34.28186,144.073424
Gunbower-Koondrook-Perricoota,2015,0.0,0.0,100.0,3,2,2,0,0,-35.838988,144.373896
Gwydir Wetlands,2015,8.0,8.0,5.0,1634,64,26,0,0,-29.344658,149.57392
Hattah Lakes,2015,658.2,770.0,100.0,5449,127,22,0,6,-34.735307,142.372806
Kerang wetlands,2015,0.0,0.0,96.67,12881,106,26,8440,0,-35.604983,143.814007
Kiewa River,2015,3550.0,1420.0,40.0,139,5,5,0,0,-36.44861,147.0556
Lake Cowal,2015,9089.0,0.0,40.0,85474,44,25,3,0,-33.62082,147.490024
Lake Hindmarsh,2015,13501.0,0.0,5.0,56,6,3,0,0,-36.050819,141.906557
Lake Mokoan,2015,2641.0,26.41,1.0,99,10,10,0,0,-36.47445,146.0622
Lindsay-Walpolla-Chowilla,2015,0.0,54.0,90.0,35326,160,34,165,0,-34.18783,140.678265
Lowbidgee floodplain,2015,1074.0,864.0,80.45,10622,89,28,0,0,-34.552606,143.702801
Macquarie Marshes,2015,103327.0,8260.0,9.0,11115,14,14,0,0,-30.99548,147.65342
Menindee lakes,2015,26318.0,0.0,0.0,40887,118,33,0,0,-32.393178,142.378393
Murray River and Euston Lakes,2015,2880.0,2142.5,74.39,2267,33,22,0,0,-34.54972,142.8799
Narran lakes,2015,5898.0,0.0,0.0,381,31,18,0,0,-29.730872,147.451611
